country,category,mean_q1d,mean_q1e,mean_q1f,mean_q1g,mean_q2d,mean_q2e,mean_q2f,mean_q2g,sd_q1d,sd_q1e,sd_q1f,sd_q1g,sd_q2d,sd_q2e,sd_q2f,sd_q2g,n,upper_q1d,lower_q1d,upper_q1e,lower_q1e,upper_q1f,lower_q1f,upper_q1g,lower_q1g,upper_q2d,lower_q2d,upper_q2e,lower_q2e,upper_q2f,lower_q2f,upper_q2g,lower_q2g
Ecuador,Financially Insecured,25.512528473804103,17.370892018779344,24.242424242424242,13.986013986013987,58.944954128440365,69.42528735632185,57.736720554272516,71.85354691075516,43.64289711109654,37.93044405258076,42.90499142799612,34.72468203241234,49.249883106205466,46.12536318189241,49.45494550184755,45.022894965852274,441,29.585865537506447,21.43919141010176,20.911066797020215,13.830717240538473,28.246890109037214,20.23795837581127,17.22698430903914,10.745043662988834,63.54160988501954,54.34829837186119,73.73032125329847,65.12025345934522,62.35251546777829,53.12092564076674,76.0556837742347,67.65141004727562
Ecuador,Financially Secured,39.548022598870055,21.904761904761905,29.310344827586203,21.714285714285715,56.70498084291188,65.77437858508604,56.046065259117086,70.8253358925144,48.94146533463598,41.39954359779122,45.56221041103268,41.2693892172951,49.59592127388491,47.49191051650523,49.6808060451492,45.50031922048246,533,43.70300735781733,35.39303783992278,25.419459952726985,18.390063856796825,33.178440900055335,25.44224875511707,25.217934042681225,18.210637385890205,60.915526963465084,52.494434722358676,69.80630045379473,61.742456716377355,60.26381784413674,51.82831267409743,74.68817758709167,66.96249419793713
Grenada,Financially Insecured,42.42424242424242,49.473684210526315,54.736842105263165,57.14285714285714,35.41666666666667,18.29268292682927,11.11111111111111,11.11111111111111,49.6742636335202,50.26246899500346,50.03917837954912,49.741600337380696,48.0770580295002,38.89856635299014,31.622776601683793,31.603030875998485,99,52.209447050023705,32.63903779846114,59.374757888067656,39.572610532984974,64.59393034238899,44.87975386813735,66.94132625165042,47.344388034063854,44.88724189441428,25.946091438919062,25.95521083507771,10.630155018580826,17.34040002751565,4.881822194706574,17.336510368118965,4.8857118541032545
Grenada,Financially Secured,41.47727272727273,39.52802359882006,49.404761904761905,47.093023255813954,45.9214501510574,17.17171717171717,17.123287671232877,15.857605177993527,49.33840982721965,48.96335073616848,50.07102276307281,49.98813338063269,49.90882467981982,37.777095270930076,37.73590456874498,36.58727932672667,352,46.63157504358759,36.322970410957865,44.643144110359906,34.41290308728022,54.63559908641705,44.17392472310676,52.31520112036899,41.87084539125892,51.13534276641744,40.70755753569736,21.118228020779423,13.225206322654916,21.065495395560735,13.181079946905019,19.679817917354388,12.035392438632666
Guyana,Financially Insecured,31.6,41.86991869918699,43.56846473029046,50.806451612903224,68.57142857142857,50.20242914979757,50.617283950617285,54.655870445344135,46.58455196658771,49.43517038520016,49.68782213027446,50.094595119957475,46.51810858396446,50.101112337850125,50.099380879342405,49.88383860138635,254,37.329030521994355,25.870969478005648,47.9495220878798,35.79031531049418,49.6791395685918,37.457789891989115,56.967151937659565,44.64575128814688,74.29228779733948,62.85056934551765,56.36393097072913,44.040927328866005,56.77857283446521,44.45599506676936,60.79065165149504,48.52108923919323
Guyana,Financially Secured,36.915887850467286,40.56603773584906,45.539906103286384,50,66.98564593301435,50.72463768115942,51.674641148325364,50,48.37085249201491,49.218156182146174,49.917994581212994,50.11834336081179,47.13936768008116,50.11594829525963,50.09192874097381,50.11947448335864,215,43.38166277907071,30.450112921863862,47.145072503266945,33.98700296843117,52.21248889273897,38.8673233138338,56.699363589239404,43.300636410760596,73.28680719012478,60.68448467590394,57.42368111985357,44.025594242465274,58.370473871807846,44.97880842484288,56.69951478739755,43.30048521260245
Haiti,Financially Insecured,45.83333333333333,30.73286052009456,37.704918032786885,39.018691588785046,52.69607843137255,57.75,58.70646766169154,58.86699507389162,49.88385582456266,46.19330938912432,48.52158949496274,48.83629036243105,49.988556767317625,49.45758416642434,49.29749284657186,49.2681956795256,439,50.49975335264212,41.16691331402454,35.05404580395938,26.41167523622974,42.24390389996373,33.16593216561004,43.58711636768541,34.45026680988468,57.37229277325798,48.019864089487115,62.37654414030304,53.12345585969696,63.31803594803284,54.09489937535024,63.47582273634662,54.258167411436624
Haiti,Financially Secured,31.57894736842105,27.77777777777778,26.31578947368421,27.027027027027028,44.44444444444444,51.42857142857142,52.77777777777778,52.77777777777778,47.10691208760756,45.425676257949796,44.62583499902143,45.022516889074815,50.39526306789697,50.709255283710995,50.6309397848002,50.6309397848002,38,46.556777807330896,16.601116929511207,42.221052584223266,13.33450297133229,40.50475156415304,12.12682738321538,41.3421157053808,12.711938348673257,60.46781918298488,28.421069705904003,67.55178124351963,35.30536161362322,68.87608686772742,36.67946868782813,68.87608686772742,36.67946868782813
Jamaica,Financially Insecured,27.55102040816326,34.12698412698413,36.24338624338625,40.575916230366495,61.63682864450127,41.14583333333333,42.25721784776903,40.21164021164021,44.73419592885421,47.47641896203454,48.13403061340074,49.168233840301724,48.68929302791058,49.27399372680666,49.46180856960349,49.09750675121761,397,31.951504481946447,23.150536334380075,38.797219529336246,29.456748724632007,40.978310627813144,31.50846185895935,45.412574752057665,35.739257708675325,66.42637395954034,56.84728332946221,45.99289541066123,36.29877125600543,47.122755192336825,37.39168050320123,45.04134133926992,35.3819390840105
Jamaica,Financially Secured,28.51985559566787,34.19117647058824,35.03649635036496,40.91743119266055,62.0253164556962,49.8134328358209,50.56390977443609,46.57794676806083,45.19170100940852,47.478678313298076,47.7520115500952,49.21332025425558,48.5763191092721,50.0463587569478,50.0438757974993,49.93024284763521,560,32.26286351754689,24.77684767378885,38.12360355515454,30.25874938602194,38.99156229223897,31.08143040849096,44.993530198876265,36.84133218644484,66.04865576757284,58.00197714381956,53.958528353457105,45.66833731818469,54.70879964066556,46.41901990820662,50.71342497192692,42.44246856419475
