country,category,mean,n,sd,upper,lower
Jamaica,Dark Skin,49.78165938864629,517,50.054197452157524,54.09636631894715,45.46695245834543
Jamaica,Light Skin,51.918735891647856,484,50.01965845427753,56.37503273575622,47.46243904753949
Peru,Dark Skin,47.94050343249428,900,49.986171125176504,51.20626661267248,44.674740252316084
Peru,Light Skin,48,129,50.1610310127101,56.656207742604195,39.343792257395805
St. Kitts and Nevis,Dark Skin,20.754716981132077,56,40.943162132389446,31.478386933269743,10.031047028994411
St. Kitts and Nevis,Light Skin,21.93211488250653,444,41.432789042245616,25.786088657072376,18.07814110794068
St. Lucia,Dark Skin,54.88721804511278,142,49.94870916755634,63.10275906357444,46.671677026651125
St. Lucia,Light Skin,37.254901960784316,358,48.42753984290611,42.271472982776494,32.23833093879214
St. Vincent and the Grenadines,Dark Skin,32.35294117647059,40,47.485807993381705,47.06894553613716,17.636936816804017
St. Vincent and the Grenadines,Light Skin,29.6,460,45.710083840503756,33.77723755070109,25.422762449298915
Suriname,Dark Skin,45.42483660130719,335,49.87179534852028,50.765419621435925,40.08425358117846
Suriname,Light Skin,50.33112582781457,167,50.165289707034766,57.93966288966795,42.722588765961184
Trinidad and Tobago,Dark Skin,61.3126079447323,624,48.74555108724604,65.1373201446203,57.48789574484429
Trinidad and Tobago,Light Skin,62.82420749279539,377,48.397208772076105,67.70967030049185,57.938744685098925
Venezuela,Dark Skin,33.56401384083045,881,47.2486322887186,36.68403370188777,30.443993979773126
Venezuela,Light Skin,38.4,126,48.83150754412829,46.9265026424571,29.873497357542895
LAC avg,Dark Skin,51.84893008579036,10649,49.96826661719381,52.79799505170664,50.89986511987407
LAC avg,Light Skin,41.83847172309438,5777,49.33406330599472,43.1106611280265,40.56628231816226
