group,category,q48e_G1,q48f_G1,q48g_G1,q48e_G2,q48f_G2,q48g_G2
Suriname,Male,0.40163934426229514,0.5272727272727272,0.6371681415929203,0.43396226415094336,0.5094339622641509,0.6037735849056605
Trinidad and Tobago,Female,0.4204081632653061,0.6344537815126051,0.7336244541484717,0.4170212765957447,0.46255506607929514,0.49099099099099097
Trinidad and Tobago,Male,0.48800000000000016,0.6987951807228917,0.7886178861788617,0.35348837209302325,0.3990610328638497,0.42718446601941756
Venezuela,Female,0.33057851239669434,0.5234042553191489,0.7436974789915967,0.6018099547511312,0.4768518518518518,0.46759259259259267
Venezuela,Male,0.3875968992248063,0.5533596837944662,0.8228346456692913,0.6188340807174888,0.5525114155251142,0.5409090909090909
Antigua and Barbuda,Dark Skin,0.3529411764705882,0.90625,0.971830985915493,0.02173913043478262,0.05999999999999999,0.08
Antigua and Barbuda,Light Skin,0.425531914893617,0.8882681564245811,0.9479166666666667,0.078125,0.030534351145038156,0.030534351145038146
Argentina,Dark Skin,0.25606469002695426,0.6434540389972145,0.8069705093833781,0.3914285714285714,0.32670454545454547,0.27731092436974797
Argentina,Light Skin,0.375,0.625,0.75,0.25,0.375,0.5
Bahamas,Dark Skin,0.5454545454545455,0.7058823529411764,0.5465116279069767,0.4482758620689656,0.4204545454545455,0.4431818181818181
Bahamas,Light Skin,0.5273972602739725,0.75,0.6642335766423357,0.4454545454545455,0.3142857142857143,0.4150943396226415
Barbados,Dark Skin,0.5555555555555556,0.4634146341463415,0.21428571428571427,0.7674418604651163,0.6046511627906976,0.627906976744186
Barbados,Light Skin,0.8210526315789474,0.3023255813953488,0.2558139534883721,0.8436018957345972,0.7843137254901962,0.826086956521739
Bolivia,Dark Skin,0.17955112219451375,0.39598997493734334,0.7481481481481481,0.4010554089709762,0.32291666666666663,0.30366492146596846
Bolivia,Light Skin,0.15151515151515152,0.4020618556701031,0.7244897959183674,0.41758241758241754,0.39325842696629215,0.34831460674157305
Brazil,Dark Skin,0.3333333333333334,0.6247191011235955,0.7871396895787139,0.36794582392776526,0.3295711060948081,0.35056179775280905
Brazil,Light Skin,0.2771084337349398,0.6666666666666667,0.8452380952380952,0.2597402597402597,0.24358974358974358,0.24358974358974356
Colombia,Dark Skin,0.22193211488250658,0.5447368421052632,0.6484375,0.3449131513647642,0.2709359605911328,0.23774509803921576
Colombia,Light Skin,0.276595744680851,0.4782608695652174,0.6373626373626373,0.3033707865168539,0.34065934065934067,0.2666666666666667
Costa Rica,Dark Skin,0.48918918918918913,0.625,0.6593406593406593,0.6564885496183206,0.6077922077922078,0.6098191214470285
Costa Rica,Light Skin,0.46,0.6145833333333333,0.6907216494845361,0.6260869565217392,0.6126126126126126,0.6071428571428571
Dominica,Dark Skin,0.10714285714285715,0.5,0.65,0.47058823529411764,0.4375,0.5882352941176471
Dominica,Light Skin,0.36400000000000005,0.6796116504854368,0.7379679144385027,0.30864197530864196,0.3712574850299401,0.547486033519553
Dominican Republic,Dark Skin,0.29009433962264153,0.4653937947494036,0.7132701421800947,0.5306122448979591,0.48969072164948446,0.5115681233933163
Dominican Republic,Light Skin,0.36764705882352944,0.5373134328358209,0.7205882352941176,0.5116279069767442,0.5060240963855421,0.49397590361445787
Ecuador,Dark Skin,0.1956043956043955,0.534521158129176,0.7704194260485651,0.39082969432314413,0.30818965517241387,0.2850971922246219
Ecuador,Light Skin,0.26315789473684215,0.4736842105263158,0.8421052631578947,0.5161290322580645,0.5161290322580645,0.4
Grenada,Dark Skin,0.8536585365853658,0.5,0.6923076923076923,0.75,0.72,0.5357142857142857
Grenada,Light Skin,0.7777777777777778,0.532967032967033,0.5889570552147239,0.575,0.5290322580645159,0.5414012738853502
Guyana,Dark Skin,0.3768115942028986,0.546875,0.3970588235294118,0.34615384615384615,0.3157894736842105,0.423076923076923
Guyana,Light Skin,0.3484848484848484,0.6615384615384616,0.696969696969697,0.28813559322033894,0.28571428571428575,0.2586206896551723
Haiti,Dark Skin,0.254054054054054,0.3093922651933701,0.5806451612903225,0.4702970297029703,0.4019607843137254,0.3076923076923077
Haiti,Light Skin,0.10526315789473684,0.3157894736842105,0.47058823529411764,0.37142857142857144,0.4,0.4
Jamaica,Dark Skin,0.5324675324675325,0.5821917808219177,0.6558441558441561,0.4736842105263157,0.5431034482758621,0.5663716814159292
Jamaica,Light Skin,0.4150943396226415,0.5816326530612245,0.6857142857142857,0.43103448275862066,0.424778761061947,0.4181818181818182
Peru,Dark Skin,0.20572916666666666,0.48275862068965525,0.744736842105263,0.4715025906735752,0.40463917525773196,0.3704663212435234
Peru,Light Skin,0.11320754716981135,0.4313725490196078,0.5094339622641509,0.36,0.28846153846153844,0.3921568627450981
St. Kitts and Nevis,Dark Skin,0.4444444444444443,0.9142857142857143,0.8571428571428571,0.55,0.3,0.4
St. Kitts and Nevis,Light Skin,0.3605150214592275,0.7155555555555555,0.7705627705627706,0.4154589371980676,0.2682926829268292,0.358974358974359
St. Lucia,Dark Skin,0.23684210526315788,0.48648648648648646,0.7027027027027027,0.3174603174603175,0.2295081967213115,0.35593220338983056
St. Lucia,Light Skin,0.46706586826347307,0.5987261146496816,0.5759493670886076,0.33928571428571425,0.3167701863354037,0.3422818791946309
St. Vincent and the Grenadines,Dark Skin,0.47619047619047616,0.5263157894736843,0.65,0.375,0.3571428571428571,0.5
St. Vincent and the Grenadines,Light Skin,0.3706563706563707,0.5169491525423728,0.6081632653061225,0.24848484848484845,0.23353293413173654,0.2925170068027211
Suriname,Dark Skin,0.45,0.524822695035461,0.6137931034482759,0.39416058394160586,0.5777777777777778,0.6569343065693432
Suriname,Light Skin,0.2911392405063291,0.47297297297297297,0.625,0.4657534246575342,0.41666666666666663,0.4594594594594595
Trinidad and Tobago,Dark Skin,0.47231270358306204,0.6351351351351351,0.7440273037542662,0.4098939929328621,0.45985401459854014,0.49815498154981547
Trinidad and Tobago,Light Skin,0.425531914893617,0.7172774869109948,0.7912087912087913,0.3473053892215569,0.3855421686746988,0.3949044585987261
Venezuela,Dark Skin,0.3709677419354838,0.5213270142180096,0.7775175644028103,0.5923076923076924,0.4856396866840731,0.4856396866840731
Venezuela,Light Skin,0.2878787878787879,0.6515151515151516,0.8307692307692307,0.7407407407407408,0.7307692307692307,0.6415094339622642
