country,year,q1d,q1e,q1f,q1g,q2d,q2e,q2f,q2g
Venezuela,2013,22.52252252252252,NA,NA,NA,57.73930753564155,NA,NA,50.21231422505308
Venezuela,2016,12.825651302605209,NA,NA,NA,72.73652085452696,NA,NA,66.49590163934425
Venezuela,2018,19.16167664670659,19.17948717948718,26.522187822497422,20.440251572327046,68.58316221765914,63.50210970464135,57.41525423728814,62.33905579399141
Venezuela,2022,27.137176938369784,35.140771637122,46.76258992805755,42.47144340602284,60.040983606557376,49.94731296101159,42.462845010615716,51.431601272534465
LAC avg,2011,39.00975243810953,NA,NA,NA,43.6885865457294,NA,NA,33.97035881435257
LAC avg,2012,40.921461897356146,NA,NA,NA,43.86171675505794,NA,NA,42.811818362086065
LAC avg,2013,22.848348526103944,NA,NA,NA,57.450370724707014,NA,NA,50.40788993059784
LAC avg,2014,35.474278917633065,NA,NA,NA,47.3466921760145,NA,NA,38.40424446485052
LAC avg,2016,29.38796480637082,NA,NA,NA,52.66822855655343,NA,NA,43.277395199572105
LAC avg,2017,31.784785803097094,30.813485214589804,34.98902622155481,31.61238161238161,49.13684691894364,42.21082089552239,39.19785472776029,39.304937982681956
LAC avg,2018,34.898205196892576,32.43507400167551,37.27641140301844,35.88957055214724,49.182682443061346,44.32616563764105,40.806474513701545,43.32171066676155
LAC avg,2019,36.38818565400844,32.72598620201663,37.719298245614034,34.58673288400142,40.528328119569,34.414769671984224,30.787119856887298,33.64536453645365
LAC avg,2021,39.699105448631066,34.82224892218531,38.88614385543869,33.95118500176866,41.88064087315469,37.20980378063681,33.80412297596119,36.97901695889623
LAC avg,2022,36.25705867910631,35.07076067728077,40.96927462781122,40.05174480974317,53.66643822814778,46.01678502259522,43.348000517665334,47.76119402985074
